,Unnamed: 0,url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,year,month,day
254457,254457,http://www.billboard.com/charts/hot-100/1973-02-03,1973-02-03,56,What My Baby Needs Now Is A Little More Lovin',James Brown-Lyn Collins (2-1973),What My Baby Needs Now Is A Little More Lovin'James Brown-Lyn Collins,1,58.0,56,7,1973,2,3
255774,255774,http://www.billboard.com/charts/hot-100/1978-02-25,1978-02-25,56,"What's Your Name, What's Your Number",Andrea True Connection (2-1978),"What's Your Name, What's Your NumberAndrea True Connection",1,56.0,56,7,1978,2,25
266081,266081,http://www.billboard.com/charts/hot-100/1978-09-02,1978-09-02,84,Time For Me To Fly,REO Speedwagon (9-1978),Time For Me To FlyREO Speedwagon,1,56.0,56,7,1978,9,2
296492,296492,http://www.billboard.com/charts/hot-100/1971-08-14,1971-08-14,58,Crazy About The La La La,Smokey Robinson & The Miracles (8-1971),Crazy About The La La LaSmokey Robinson & The Miracles,1,56.0,56,7,1971,8,14
296789,296789,http://www.billboard.com/charts/hot-100/1964-02-29,1964-02-29,62,442 Glenwood Avenue,The Pixies Three (2-1964),442 Glenwood AvenueThe Pixies Three,1,56.0,56,7,1964,2,29
296852,296852,http://www.billboard.com/charts/hot-100/1965-05-22,1965-05-22,63,A Woman Can Change A Man,Joe Tex (5-1965),A Woman Can Change A ManJoe Tex,1,59.0,56,7,1965,5,22
297052,297052,http://www.billboard.com/charts/hot-100/1969-04-05,1969-04-05,66,Tear Drop City,The Monkees (4-1969),Tear Drop CityThe Monkees,1,58.0,56,7,1969,4,5
297341,297341,http://www.billboard.com/charts/hot-100/1964-06-13,1964-06-13,71,One Way Love,The Drifters (6-1964),One Way LoveThe Drifters,1,56.0,56,7,1964,6,13
297702,297702,http://www.billboard.com/charts/hot-100/1960-04-23,1960-04-23,79,At My Front Door,Dee Clark (4-1960),At My Front DoorDee Clark,1,59.0,56,7,1960,4,23
297781,297781,http://www.billboard.com/charts/hot-100/1960-04-30,1960-04-30,81,Someday (You'll Want Me to Want You),Della Reese (4-1960),Someday (You'll Want Me to Want You)Della Reese,1,56.0,56,7,1960,4,30
298002,298002,http://www.billboard.com/charts/hot-100/1987-08-01,1987-08-01,87,Still A Thrill,Jody Watley (8-1987),Still A ThrillJody Watley,1,67.0,56,7,1987,8,1
298171,298171,http://www.billboard.com/charts/hot-100/2009-10-24,2009-10-24,93,The Fixer,Pearl Jam (10-2009),The FixerPearl Jam,1,66.0,56,7,2009,10,24
298348,298348,http://www.billboard.com/charts/hot-100/1979-10-13,1979-10-13,98,Boom Boom (Out Go The Lights),Pat Travers (10-1979),Boom Boom (Out Go The Lights)Pat Travers,1,56.0,56,7,1979,10,13
301860,301860,http://www.billboard.com/charts/hot-100/1978-06-17,1978-06-17,97,You Keep Me Dancing,Samantha Sang (6-1978),You Keep Me DancingSamantha Sang,1,56.0,56,7,1978,6,17
428,428,http://www.billboard.com/charts/hot-100/1959-01-31,1959-01-31,82,Don't You Know Yockomo,"Huey ""piano"" Smith With His Clowns (1-1959)","Don't You Know YockomoHuey ""piano"" Smith With His Clowns",2,56.0,56,6,1959,1,31
154219,154219,http://www.billboard.com/charts/hot-100/1968-01-20,1968-01-20,56,Good Combination,Sonny & Cher (1-1968),Good CombinationSonny & Cher,1,57.0,56,6,1968,1,20
154760,154760,http://www.billboard.com/charts/hot-100/1968-03-16,1968-03-16,62,Got What You Need,The Fantastic Johnny C (3-1968),Got What You NeedThe Fantastic Johnny C,1,56.0,56,6,1968,3,16
155184,155184,http://www.billboard.com/charts/hot-100/1969-12-20,1969-12-20,67,Get It From The Bottom,The Steelers (12-1969),Get It From The BottomThe Steelers,1,56.0,56,6,1969,12,20
199248,199248,http://www.billboard.com/charts/hot-100/1964-12-05,1964-12-05,56,S-W-I-M,Bobby Freeman (12-1964),S-W-I-MBobby Freeman,1,56.0,56,6,1964,12,5
199269,199269,http://www.billboard.com/charts/hot-100/1963-02-23,1963-02-23,56,Settle Down (Goin' Down That Highway),"Peter, Paul & Mary (2-1963)","Settle Down (Goin' Down That Highway)Peter, Paul & Mary",1,58.0,56,6,1963,2,23
199277,199277,http://www.billboard.com/charts/hot-100/1973-04-28,1973-04-28,56,Across 110th Street,Bobby Womack & Peace (4-1973),Across 110th StreetBobby Womack & Peace,1,59.0,56,6,1973,4,28
199292,199292,http://www.billboard.com/charts/hot-100/1971-04-03,1971-04-03,56,After The Fire Is Gone,Conway Twitty & Loretta Lynn (4-1971),After The Fire Is GoneConway Twitty & Loretta Lynn,1,61.0,56,6,1971,4,3
199352,199352,http://www.billboard.com/charts/hot-100/1961-06-10,1961-06-10,57,A Love Of My Own,Carla Thomas (6-1961),A Love Of My OwnCarla Thomas,1,56.0,56,6,1961,6,10
199440,199440,http://www.billboard.com/charts/hot-100/1967-04-29,1967-04-29,58,"Can't Get Enough Of You, Baby",? (Question Mark) & The Mysterians (4-1967),"Can't Get Enough Of You, Baby? (Question Mark) & The Mysterians",1,56.0,56,6,1967,4,29
