,Song,Performer,Relevance (Total Weeks on Chart),Count of no. 1,Year,Month,Popularity
213460,Silly,Deniece Williams (10-1981),10,0,1981,10,0.0
213393,T.L.C. Tender Love And Care,Jimmie Rodgers (3-1960),10,0,1960,3,0.0
213385,Don't Call Me Up,Mabel (6-2019),10,0,2019,6,0.0
213381,Coming Up Close,'Til Tuesday (3-1987),10,0,1987,3,0.0
213380,Do You Wanna Go Party,KC And The Sunshine Band (7-1979),10,0,1979,7,0.0
213376,Shattered Glass,Laura Branigan (9-1987),10,0,1987,9,0.0
213374,One To One,Carole King (5-1982),10,0,1982,5,0.0
213373,"Curious Mind (Um, Um, Um, Um, Um, Um)",Johnny Rivers (2-1978),10,0,1978,2,0.0
213370,That's Why I Pray,Big & Rich (9-2012),10,0,2012,9,0.0
213363,Small Town Girl,John Cafferty & The Beaver Brown Band (1-1986),10,0,1986,1,0.0
256717,When I Grow Up (To Be A Man),The Beach Boys (11-1964),10,0,1964,11,0.0
256534,When God-Fearin' Women Get The Blues,Martina McBride (11-2001),10,0,2001,11,0.0
256566,When I Close My Eyes,Shanice (5-1999),10,0,1999,5,0.0
224159,Up A Lazy River,Si Zentner And His Orchestra (1-1962),10,0,1962,1,0.0
256609,When I Dream Of You,Tommy Page (7-1990),10,0,1990,7,0.0
302432,You Make Me Feel (Mighty Real),Sylvester (3-1979),10,0,1979,3,0.0
223405,Undun,The Guess Who (12-1969),10,0,1969,12,0.0
251843,We've Come Too Far To End It Now,Smokey Robinson & The Miracles (8-1972),10,0,1972,8,0.0
223272,Under,Pleasure P (11-2009),10,0,2009,11,0.0
251713,We're Getting Careless With Our Love,Johnnie Taylor (3-1974),10,0,1974,3,0.0
302729,You Must Believe Me,The Impressions (11-1964),10,0,1964,11,0.0
302164,You Let Your Heart Go Too Fast,Spin Doctors (9-1994),10,0,1994,9,0.0
225080,Valleri,The Monkees (5-1968),10,0,1968,5,0.0
224465,Up!,Shania Twain (4-2003),10,0,2003,4,0.0
256353,When A Boy Falls In Love,Mel Carter (9-1963),10,0,1963,9,0.0
255671,What's Too Much,Smokey Robinson (1-1988),10,0,1988,1,0.0
22589,Lovin' All Night,Patty Loveless (10-2003),10,0,2003,10,0.0
22523,I'll Fall In Love Again,Sammy Hagar (4-1982),10,0,1982,4,0.0
22517,Fake Friends,Joan Jett & the Blackhearts (9-1983),10,0,1983,9,0.0
22516,Let Me Let Go,Faith Hill (2-1999),10,0,1999,2,0.0
22515,Let's Hang On,Barry Manilow (5-1982),10,0,1982,5,0.0
22514,La Paloma,Billy Vaughn And His Orchestra (10-1958),10,0,1958,10,0.0
22525,Inside Love (so Personal),George Benson (7-1983),10,0,1983,7,0.0
22539,My Up And Down,Adina Howard (9-1995),10,0,1995,9,0.0
22538,It Was,Chely Wright (5-2000),10,0,2000,5,0.0
22535,One More Time For Love,Billy Preston & Syreeta (8-1980),10,0,1980,8,0.0
22534,Me And My Crazy World,Lost Boyz (11-1997),10,0,1997,11,0.0
22533,I'll Be You,The Replacements (6-1989),10,0,1989,6,0.0
22532,Help Me!,Marcy Levy & Robin Gibb (1-1981),10,0,1981,1,0.0
22529,I Found Sunshine,The Chi-lites (1-1974),10,0,1974,1,0.0
22527,Everything Works If You Let It,Cheap Trick (7-1980),10,0,1980,7,0.0
22526,Dreadlock Holiday,10cc (12-1978),10,0,1978,12,0.0
22491,It's The Things You Do,Five (1-1999),10,0,1999,1,0.0
22490,Livin' In The Light,Caron Wheeler (12-1990),10,0,1990,12,0.0
22489,Fantasy Girl,38 Special (8-1981),10,0,1981,8,0.0
22488,Holding On (When Love Is Gone),L.T.D. (10-1978),10,0,1978,10,0.0
22487,Fool Moon Fire,Walter Egan (6-1983),10,0,1983,6,0.0
22486,Lonely Together,Barry Manilow (5-1981),10,0,1981,5,0.0
22485,Hangin' On A String,Loose Ends (9-1985),10,0,1985,9,0.0
22484,It's All I Can Do,The Cars (12-1979),10,0,1979,12,0.0
22483,Like A Sunday In Salem (The Amos & Andy Song),Gene Cotton (12-1978),10,0,1978,12,0.0
22480,Hype,Drake (7-2016),10,0,2016,7,0.0
22492,Free Me,Roger Daltrey (9-1980),10,0,1980,9,0.0
22503,Get Lifted,Keith Murray (5-1995),10,0,1995,5,0.0
22502,Fast As You,Dwight Yoakam (2-1994),10,0,1994,2,0.0
22500,Fading Away,Will To Power (4-1989),10,0,1989,4,0.0
22499,Fire Flame,Birdman Featuring Lil Wayne (2-2011),10,0,2011,2,0.0
22498,Mutual Surrender (What A Wonderful World),Bourgeois Tagg (6-1986),10,0,1986,6,0.0
22496,No Matter What They Say,Lil' Kim (9-2000),10,0,2000,9,0.0
22495,I'm Really Hot,Missy Elliott (4-2004),10,0,2004,4,0.0
22494,Let's Talk About Me,The Alan Parsons Project (4-1985),10,0,1985,4,0.0
22493,Driven Out,The Fixx (4-1989),10,0,1989,4,0.0
223110,Under The Gun,Poco (9-1980),10,0,1980,9,0.0
22578,Loveline,Dr. Hook (8-1982),10,0,1982,8,0.0
22576,I Wish You'd Stay,Brad Paisley (3-2003),10,0,2003,3,0.0
22575,Maybe Love Will Change Your Mind,Stevie Nicks (8-1994),10,0,1994,8,0.0
22574,I Don't Want You To Go,Carolyn Dawn Johnson (7-2002),10,0,2002,7,0.0
302776,You Need A Woman Tonight,Captain & Tennille (2-1979),10,0,1979,2,0.0
22573,Easy For You To Say,Linda Ronstadt (6-1983),10,0,1983,6,0.0
22572,Hollywood,Boz Scaggs (4-1978),10,0,1978,4,0.0
22587,Live And Die For Hip Hop,Kris Kross (6-1996),10,0,1996,6,0.0
22586,Here It Comes,MC Serch (12-1992),10,0,1992,12,0.0
22585,Ha,Juvenile (4-1999),10,0,1999,4,0.0
22582,Hide Your Heart,KISS (1-1990),10,0,1990,1,0.0
22581,Everytime You Cry,The Outfield (11-1986),10,0,1986,11,0.0
22580,Feel The Groove,Cartouche (6-1991),10,0,1991,6,0.0
22552,Flash's Theme Aka Flash,Queen (3-1981),10,0,1981,3,0.0
22551,Flying High,Commodores (11-1978),10,0,1978,11,0.0
22550,No Time For Talk,Christopher Cross (7-1983),10,0,1983,7,0.0
22549,Livin' In Desperate Times,Olivia Newton-John (4-1984),10,0,1984,4,0.0
22547,Happiness,The Pointer Sisters (5-1979),10,0,1979,5,0.0
22546,On The Way To The Sky,Neil Diamond (4-1982),10,0,1982,4,0.0
22544,Get By,Talib Kweli (5-2003),10,0,2003,5,0.0
22543,Have I Never,A Few Good Men (5-1996),10,0,1996,5,0.0
22542,I Wonder,Kellie Pickler (8-2007),10,0,2007,8,0.0
22541,Hide And Seek,Pajama Party (5-1990),10,0,1990,5,0.0
22540,Next To You,Mike Jones (5-2009),10,0,2009,5,0.0
22555,Looks That Kill,Motley Crue (4-1984),10,0,1984,4,0.0
22570,Keep Your Eye On Me,Herb Alpert (5-1987),10,0,1987,5,0.0
22568,Not Today,Mary J. Blige Featuring Eve (2-2004),10,0,2004,2,0.0
22567,Giving Up On Love,Rick Astley (6-1989),10,0,1989,6,0.0
22566,My Name Is,Eminem (5-1999),10,0,1999,5,0.0
22565,Hey Ladies,Beastie Boys (10-1989),10,0,1989,10,0.0
22564,Mainstreet,Bob Seger (6-1977),10,0,1977,6,0.0
22563,Never Been Kissed,Sherrie Austin (10-1999),10,0,1999,10,0.0
22556,Heart Turns To Stone,Foreigner (9-1988),10,0,1988,9,0.0
231230,The Floor,Johnny Gill (7-1993),10,0,1993,7,0.0
251479,We Weren't Crazy,Josh Gracin (8-2008),10,0,2008,8,0.0
22562,Jane's Getting Serious,Jon Astley (8-1987),10,0,1987,8,0.0
22559,Freaks,Play-N-Skillz Featuring Krayzie Bone & Adina Howard (9-2004),10,0,2004,9,0.0
22558,Gangsta Bitch,Apache (4-1993),10,0,1993,4,0.0
22557,Look After You,The Fray (5-2007),10,0,2007,5,0.0
299581,You And Your Friends,Wiz Khalifa Featuring Snoop Dogg & Ty Dolla $ign (12-2014),10,0,2014,12,0.0
299350,You Always Hurt The One You Love,Clarence Henry (7-1961),10,0,1961,7,0.0
254279,What Kind Of Love Is This,Joey Dee & the Starliters (10-1962),10,0,1962,10,0.0
252643,Wet The Bed,Chris Brown Featuring Ludacris (11-2011),10,0,2011,11,0.0
254430,What Means The World To You,Cam'ron (12-2000),10,0,2000,12,0.0
254128,What It Feels Like For A Girl,Madonna (7-2001),10,0,2001,7,0.0
300591,You Can't Judge A Book By The Cover,Bo Diddley (10-1962),10,0,1962,10,0.0
300425,You Can Never Stop Me Loving You,Johnny Tillotson (10-1963),10,0,1963,10,0.0
300249,You Came,Kim Wilde (11-1988),10,0,1988,11,0.0
300098,You Better Know It,Jackie Wilson (11-1959),10,0,1959,11,0.0
300364,You Can Get It All,Bow Wow Featuring Johnta Austin (5-2009),10,0,2009,5,0.0
300976,You Don't Have To Say You Love Me/Patch It Up,Elvis Presley (12-1970),10,0,1970,12,0.0
300741,You Complete Me,Keyshia Cole (4-2009),10,0,2009,4,0.0
300860,You Don't Believe,The Alan Parsons Project (1-1984),10,0,1984,1,0.0
255661,What's The Use Of Breaking Up,Jerry Butler (11-1969),10,0,1969,11,0.0
226042,Vox Humana,Kenny Loggins (5-1985),10,0,1985,5,0.0
230366,Castles In The Sky,Ian Van Dahl Featuring Marsha (11-2001),10,0,2001,11,0.0
226009,Volunteers,Jefferson Airplane (1-1970),10,0,1970,1,0.0
230367,Crawling Back To You,Daughtry (1-2012),10,0,2012,1,0.0
230364,Pound Cake / Paris Morton Music 2,Drake Featuring Jay Z (12-2013),10,0,2013,12,0.0
230361,The Fear,Lily Allen (5-2009),10,0,2009,5,0.0
225553,Video Killed The Radio Star,The Buggles (1-1980),10,0,1980,1,0.0
255592,What's So Good About Good-by,The Miracles (3-1962),10,0,1962,3,0.0
255641,What's The Matter With You Baby,Marvin Gaye & Mary Wells (7-1964),10,0,1964,7,0.0
225652,Violet Hill,Coldplay (7-2008),10,0,2008,7,0.0
301771,You Gotta Believe,Marky Mark & The Funky Bunch (11-1992),10,0,1992,11,0.0
301831,You Have The Right To Remain Silent,Perfect Stranger (10-1995),10,0,1995,10,0.0
254735,What Would Happen,Meredith Brooks (5-1998),10,0,1998,5,0.0
301717,You Got Yours And I'll Get Mine,The Delfonics (10-1969),10,0,1969,10,0.0
252542,West Up!,WC & The Maad Circle (12-1995),10,0,1995,12,0.0
226818,When We Make Love,Alabama (7-1984),10,0,1984,7,0.0
252446,"Well, I Told You",The Chantels (1-1962),10,0,1962,1,0.0
226293,Wait Til' My Bobby Gets Home,Darlene Love (9-1963),10,0,1963,9,0.0
226417,Waiting For That Day,George Michael (3-1991),10,0,1991,3,0.0
22208,Made In England,Elton John (9-1995),10,0,1995,9,0.0
22204,If It Ain't One Thing...It's Another,"Richard ""Dimples"" Fields (6-1982)",10,0,1982,6,0.0
22193,I Keep On Loving You,Reba (7-2010),10,0,2010,7,0.0
22226,How Can I Leave You Again,John Denver (1-1978),10,0,1978,1,0.0
22224,Love Makes The World Go 'round,Perry Como (12-1958),10,0,1958,12,0.0
22223,I Can Make It Better,Luther Vandross (2-1997),10,0,1997,2,0.0
22246,Nightwalker,Gino Vannelli (9-1981),10,0,1981,9,0.0
232885,The Killing Of Georgie (Part I And II),Rod Stewart (8-1977),10,0,1977,8,0.0
22279,I'm No Angel,The Gregg Allman Band (6-1987),10,0,1987,6,0.0
22278,Face The Music,RTZ (10-1991),10,0,1991,10,0.0
22276,Little Walter,Tony Toni Tone (7-1988),10,0,1988,7,0.0
249916,Waterfall,Wendy And Lisa (11-1987),10,0,1987,11,0.0
220354,Tumbling Dice,The Rolling Stones (7-1972),10,0,1972,7,0.0
22287,Keg In The Closet,Kenny Chesney (8-2005),10,0,2005,8,0.0
22286,Little Miracles (Happen Every Day),Luther Vandross (7-1993),10,0,1993,7,0.0
22284,Make Love To Me,Helen Reddy (7-1979),10,0,1979,7,0.0
22283,Leaving Las Vegas,Sheryl Crow (6-1994),10,0,1994,6,0.0
22251,Honky Tonk (Part 2),Bill Doggett (4-1961),10,0,1961,4,0.0
233098,The Last Time,The Rolling Stones (5-1965),10,0,1965,5,0.0
22252,Little Girl Gone,Donna Fargo (12-1973),10,0,1973,12,0.0
22270,I'm Not Ready,Keith Sweat (5-1999),10,0,1999,5,0.0
22260,Kisses In The Night,Brandon (7-1991),10,0,1991,7,0.0
233036,The Last Mile,Cinderella (3-1989),10,0,1989,3,0.0
22290,Long And Lasting Love (Once In A Lifetime),Glenn Medeiros (10-1988),10,0,1988,10,0.0
218800,Travelin' Soldier,Dixie Chicks (4-2003),10,0,2003,4,0.0
218764,Travelin' Band/Who'll Stop The Rain,Creedence Clearwater Revival (4-1970),10,0,1970,4,0.0
303907,You Win Again,Fats Domino (4-1962),10,0,1962,4,0.0
304135,You'll Be Mine (Party Time),Gloria Estefan (11-1996),10,0,1996,11,0.0
217964,Touch Me Baby (reaching Out For Your Love),Tamiko Jones (6-1975),10,0,1975,6,0.0
303884,You Were Only Fooling (While I Was Falling In Love),Vic Damone (6-1965),10,0,1965,6,0.0
22179,My Prayer,"Ray, Goodman & Brown (10-1980)",10,0,1980,10,0.0
22174,I'm Gettin' Better,Jim Reeves (8-1960),10,0,1960,8,0.0
249539,Watch For The Hook,"Cool Breeze Featuring OutKast, Goodie Mob & Witchdoctor (4-1999)",10,0,1999,4,0.0
22188,Lost You Anyway,Toby Keith (7-2009),10,0,2009,7,0.0
303780,You Wear It Well,El DeBarge With DeBarge (11-1985),10,0,1985,11,0.0
22158,How Do I Breathe,Mario (9-2007),10,0,2007,9,0.0
219038,Tribute (Right On),The Pasadenas (4-1989),10,0,1989,4,0.0
22155,Great Gosh A'mighty (Down & Out In Bev. Hills Theme),Little Richard (5-1986),10,0,1986,5,0.0
22411,My Name Is Not Susan,Whitney Houston (9-1991),10,0,1991,9,0.0
22413,Island Of Lost Souls,Blondie (7-1982),10,0,1982,7,0.0
22419,Illegal Alien,Genesis (5-1984),10,0,1984,5,0.0
22418,My Heroes Have Always Been Cowboys,Willie Nelson (4-1980),10,0,1980,4,0.0
22417,I Don't Wanna Lose You,Daryl Hall John Oates (2-1979),10,0,1979,2,0.0
22416,Keep On Dancin',Gary's Gang (4-1979),10,0,1979,4,0.0
22402,From Tha Chuuuch To Da Palace,Snoop Dogg (1-2003),10,0,2003,1,0.0
250993,We Got More Soul,Dyke And The Blazers (7-1969),10,0,1969,7,0.0
22389,Halle Berry (She's Fine),Hurricane Chris Featuring SupaSTAAR (7-2009),10,0,2009,7,0.0
22420,I Need A Man,Eurythmics (2-1988),10,0,1988,2,0.0
231937,The Green Mosquito,The Tune Rockers (10-1958),10,0,1958,10,0.0
231968,The Guitar Man,Bread (9-1972),10,0,1972,9,0.0
22421,Give Myself A Party,Don Gibson (11-1958),10,0,1958,11,0.0
22423,Mandolins In The Moonlight,Perry Como (12-1958),10,0,1958,12,0.0
22467,Keep Them Kisses Comin',Craig Campbell (7-2014),10,0,2014,7,0.0
22465,Love Someone,Lukas Graham (3-2019),10,0,2019,3,0.0
22464,E-Pro,Beck (5-2005),10,0,2005,5,0.0
22463,Just Let Me Be In Love,Tracy Byrd (3-2002),10,0,2002,3,0.0
251151,We Made You,Eminem (7-2009),10,0,2009,7,0.0
22462,Never Let Me Down Again,Depeche Mode (2-1988),10,0,1988,2,0.0
22460,Love Is Contagious,Taja Sevelle (11-1987),10,0,1987,11,0.0
22459,Easy Love,Dionne Warwick (1-1981),10,0,1981,1,0.0
22458,Neon Moonlight,Rosco Martinez (6-1994),10,0,1994,6,0.0
22457,Gucci Gucci,Kreayshawn (10-2011),10,0,2011,10,0.0
22456,Fell For You,The Dramatics (12-1973),10,0,1973,12,0.0
22454,Looking For A Stranger,Pat Benatar (6-1983),10,0,1983,6,0.0
22453,I'd Rather Leave While I'm In Love,Rita Coolidge (1-1980),10,0,1980,1,0.0
231610,The Girl On Page 44,The Four Lads (3-1959),10,0,1959,3,0.0
222212,U Don't Love Me,Kumbia Kings Featuring A.B. Quintanilla (5-2000),10,0,2000,5,0.0
22471,One Of These Days,Tim McGraw (7-1998),10,0,1998,7,0.0
22451,"Hot Love, Cold World",Bob Welch (8-1978),10,0,1978,8,0.0
231692,The Good Life,Tony Bennett (7-1963),10,0,1963,7,0.0
22437,Jack-Ass,Beck (11-1997),10,0,1997,11,0.0
22434,Gettin' It,Too Short Feat. Parliament Funkadelic (10-1996),10,0,1996,10,0.0
22432,Hollywood's Not America,Ferras (6-2008),10,0,2008,6,0.0
22430,Light Your A** On Fire,Busta Rhymes (10-2003),10,0,2003,10,0.0
22429,Little Bitty,Alan Jackson (1-1997),10,0,1997,1,0.0
22427,I Want Action,Poison (8-1987),10,0,1987,8,0.0
22426,Innocent Child,Colourhaus (7-1992),10,0,1992,7,0.0
22425,Keeping Our Love Alive,Henry Paul Band (2-1982),10,0,1982,2,0.0
22424,Higher Than Hope,Daryl Braithwaite (8-1991),10,0,1991,8,0.0
22422,Love All The Hurt Away,Aretha Franklin And George Benson (10-1981),10,0,1981,10,0.0
22438,No Leaf Clover,Metallica (4-2000),10,0,2000,4,0.0
231678,The Globe,Big Audio (4-1992),10,0,1992,4,0.0
22449,Drip,Cardi B Featuring Migos (6-2018),10,0,2018,6,0.0
22448,I Got Cha Opin,Black Moon (6-1994),10,0,1994,6,0.0
22439,In The Heart Of A Woman,Billy Ray Cyrus (10-1993),10,0,1993,10,0.0
22444,Fine By Me,Andy Grammer (6-2012),10,0,2012,6,0.0
22443,Fish,Craig Campbell (10-2011),10,0,2011,10,0.0
22440,Dreamin' Of Love,Stevie B (6-1988),10,0,1988,6,0.0
232627,The Immigrant,Neil Sedaka (5-1975),10,0,1975,5,0.0
22331,Mighty High,Mighty Clouds Of Joy (4-1976),10,0,1976,4,0.0
22330,I Love The Bass,Bardeux (11-1989),10,0,1989,11,0.0
22329,Just The Way You Like It,The S.O.S. Band (10-1984),10,0,1984,10,0.0
232637,The Impossible Dream (The Quest),Jack Jones (8-1966),10,0,1966,8,0.0
22326,I Must Be Dreaming,Giuffria (7-1986),10,0,1986,7,0.0
22325,I Wish I Was Eighteen Again,George Burns (3-1980),10,0,1980,3,0.0
232582,The Hurt,Cat Stevens (9-1973),10,0,1973,9,0.0
257318,When My Little Girl Is Smiling,The Drifters (4-1962),10,0,1962,4,0.0
22341,Headed For The Future,Neil Diamond (7-1986),10,0,1986,7,0.0
22340,LET's PRETEND WE'rE MARRIED,Prince (2-1984),10,0,1984,2,0.0
22339,Heaven's On fire,KISS (12-1984),10,0,1984,12,0.0
22338,Let Me Love You Once,Greg Lake (1-1982),10,0,1982,1,0.0
22337,I Hate U,Prince (11-1995),10,0,1995,11,0.0
22303,Everyday & Everynight,Yvette Michele (4-1996),10,0,1996,4,0.0
232713,The James Bond Theme,Billy Strange (10-1964),10,0,1964,10,0.0
22301,Nothing In Common,Thompson Twins (9-1986),10,0,1986,9,0.0
22304,Good To Be Alive (Hallelujah),Andy Grammer (3-2016),10,0,2016,3,0.0
22299,My Kinda Lover,Billy Squier (1-1982),10,0,1982,1,0.0
22298,In Your Soul,Corey Hart (8-1988),10,0,1988,8,0.0
232700,The Jam - Part 1,Bobby Gregg and His Friends (5-1962),10,0,1962,5,0.0
22320,Make Love Like A Man,Def Leppard (8-1992),10,0,1992,8,0.0
22318,It's The Same Old Song,KC And The Sunshine Band (7-1978),10,0,1978,7,0.0
22317,Jump Over,Freddy Cannon (7-1960),10,0,1960,7,0.0
22315,Flying Without Wings,Ruben Studdard (8-2003),10,0,2003,8,0.0
22312,Naggin,Ying Yang Twins (11-2003),10,0,2003,11,0.0
250602,We Can't Hide It Anymore,Larry Santos (4-1976),10,0,1976,4,0.0
221364,Twist-Her,Bill Black's Combo (2-1962),10,0,1962,2,0.0
232148,The Harder I Try (The Bluer I Get),Free Movement (2-1972),10,0,1972,2,0.0
22388,Lovers Never Say Goodbye,The Flamingos (3-1959),10,0,1959,3,0.0
22386,Lights And Sounds,Yellowcard (4-2006),10,0,2006,4,0.0
22384,"Let The River Run (Theme From ""Working Girl"")",Carly Simon (5-1989),10,0,1989,5,0.0
22383,Hurting Kind (I've Got My Eyes On You),Robert Plant (5-1990),10,0,1990,5,0.0
22382,Love My Way,Psychedelic Furs (5-1983),10,0,1983,5,0.0
22381,It Didn't Take Long,Spider (8-1981),10,0,1981,8,0.0
22380,Mammas Don't Let Your Babies Grow Up To Be Cowboys,Waylon & Willie (4-1978),10,0,1978,4,0.0
22377,Love Will Show Us How,Christine McVie (6-1984),10,0,1984,6,0.0
22376,Fools Rush In (Where Angels Fear To Tread),Brook Benton (1-1961),10,0,1961,1,0.0
22374,One For The Money (part 1),The Whispers (10-1976),10,0,1976,10,0.0
221374,"Twist, Twist Senora",Gary U.S. Bonds (6-1962),10,0,1962,6,0.0
22379,Goodbye Is Forever,Arcadia (4-1986),10,0,1986,4,0.0
22351,Might Be,DJ Luke Nasty (5-2016),10,0,2016,5,0.0
22360,Glide,Pleasure (2-1980),10,0,1980,2,0.0
22358,"Make No Mistake, He's Mine",Barbra Streisand With Kim Carnes (2-1985),10,0,1985,2,0.0
250524,We Can Make It Together,Steve & Eydie Featuring The Osmonds (11-1972),10,0,1972,11,0.0
210118,California Sun,The Rivieras (3-1964),10,0,1964,3,0.0
211911,The End Of Our Road,Gladys Knight And The Pips (4-1968),10,0,1968,4,0.0
211915,Birds Of A Feather,The Raiders (11-1971),10,0,1971,11,0.0
211916,Dialogue (Part I & II),Chicago (12-1972),10,0,1972,12,0.0
211917,Rhythm,Major Lance (10-1964),10,0,1964,10,0.0
211919,The Cinnamon Cinder (It's A Very Nice Dance),The Pastel Six (3-1963),10,0,1963,3,0.0
211947,A Minute Of Your Time,Tom Jones (2-1969),10,0,1969,2,0.0
211925,Softly Whispering I Love You,The English Congregation (3-1972),10,0,1972,3,0.0
211926,The Breakdown (Part I),Rufus Thomas (10-1971),10,0,1971,10,0.0
211931,Are You Happy,Jerry Butler (2-1969),10,0,1969,2,0.0
211935,Daddy Sang Bass,Johnny Cash (3-1969),10,0,1969,3,0.0
211837,The End Is Not In Sight (the Cowboy Tune),Amazing Rhythm Aces (11-1976),10,0,1976,11,0.0
211844,She Blew A Good Thing,The Poets (5-1966),10,0,1966,5,0.0
211817,Charms,Bobby Vee (6-1963),10,0,1963,6,0.0
211819,Do It Again A Little Bit Slower,Jon & Robin And The In Crowd (7-1967),10,0,1967,7,0.0
211822,Only You Know And I Know,Delaney & Bonnie (11-1971),10,0,1971,11,0.0
211827,Ready,Cat Stevens (2-1975),10,0,1975,2,0.0
211871,Autobahn,Kraftwerk (5-1975),10,0,1975,5,0.0
211874,That's When The Music Takes Me,Neil Sedaka (8-1975),10,0,1975,8,0.0
211875,Don't Pull Your Love/then You Can Tell Me Goodbye,Glen Campbell (5-1976),10,0,1976,5,0.0
211883,Do It,Neil Diamond (1-1971),10,0,1971,1,0.0
211878,Do You See My Love (For You Growing),Jr. Walker & The All Stars (9-1970),10,0,1970,9,0.0
211863,Day Tripper,The Beatles (2-1966),10,0,1966,2,0.0
211864,Back Off Boogaloo,Ringo Starr (6-1972),10,0,1972,6,0.0
211865,Blowin In The Wind,Stevie Wonder (9-1966),10,0,1966,9,0.0
212052,As If I Didn't Know,Adam Wade (9-1961),10,0,1961,9,0.0
212063,"""Cherry Cherry"" from Hot August Night",Neil Diamond (5-1973),10,0,1973,5,0.0
212064,Somewhere In Your Heart,Frank Sinatra (2-1965),10,0,1965,2,0.0
212070,Something In The Air,Thunderclap Newman (11-1969),10,0,1969,11,0.0
212071,Corazón,Carole King (12-1973),10,0,1973,12,0.0
211983,Sweet Dreams (Of You),Patsy Cline (6-1963),10,0,1963,6,0.0
211978,Don't Touch Me,Bettye Swann (5-1969),10,0,1969,5,0.0
211966,Rock-A-Hula Baby,Elvis Presley With The Jordanaires (2-1962),10,0,1962,2,0.0
211967,Been To Canaan,Carole King (1-1973),10,0,1973,1,0.0
211973,"Shoot'em Up, Baby",Andy Kim (11-1968),10,0,1968,11,0.0
212019,Can This Be Real,Natural Four (3-1974),10,0,1974,3,0.0
212020,Bongo Stomp,Little Joey And The Flips (8-1962),10,0,1962,8,0.0
212027,Charity Ball,Fanny (11-1971),10,0,1971,11,0.0
212023,Sugar Baby Love,The Rubettes (9-1974),10,0,1974,9,0.0
212001,Bernadette,Four Tops (5-1967),10,0,1967,5,0.0
212002,Stop Stop Stop,The Hollies (12-1966),10,0,1966,12,0.0
212010,Runnin' Away,Sly & The Family Stone (4-1972),10,0,1972,4,0.0
212011,Tell Me (You're Coming Back),The Rolling Stones (9-1964),10,0,1964,9,0.0
211624,Dancin' Party,Chubby Checker (8-1962),10,0,1962,8,0.0
211627,Since I Lost My Baby,The Temptations (9-1965),10,0,1965,9,0.0
211623,Ding Dong! The Witch Is Dead,The Fifth Estate (7-1967),10,0,1967,7,0.0
211651,The Beginning Of My End,The Unifics (2-1969),10,0,1969,2,0.0
211660,(Shu-Doo-Pa-Poo-Poop) Love Being Your Fool,Travis Wammack (8-1975),10,0,1975,8,0.0
211659,Swinging On A Star,Big Dee Irwin (with Little Eva) (7-1963),10,0,1963,7,0.0
211643,7 And 7 Is,Love (10-1966),10,0,1966,10,0.0
211525,Pushover,Etta James (6-1963),10,0,1963,6,0.0
211584,"Another Park, Another Sunday",The Doobie Brothers (6-1974),10,0,1974,6,0.0
211592,Ain't Gonna Lie,Keith (11-1966),10,0,1966,11,0.0
211563,Can't Buy Me Love,The Beatles (5-1964),10,5,1964,5,0.5
211564,Don't Sleep In The Subway,Petula Clark (8-1967),10,0,1967,8,0.0
211566,A Little Bit Of Heaven,Ronnie Dove (8-1965),10,0,1965,8,0.0
211574,Satin Pillows,Bobby Vinton (2-1966),10,0,1966,2,0.0
211761,Penetration,The Pyramids (4-1964),10,0,1964,4,0.0
211762,Over The Mountain (Across The Sea),Bobby Vinton (5-1963),10,0,1963,5,0.0
211766,Catch The Wind,Donovan (7-1965),10,0,1965,7,0.0
211767,Out Of My Mind,Johnny Tillotson (5-1963),10,0,1963,5,0.0
211769,Silver Bird,Mark Lindsay (8-1970),10,0,1970,8,0.0
211754,Ronnie,"The 4 Seasons Featuring the ""Sound of Frankie Valli"" (6-1964)",10,0,1964,6,0.0
211756,Sweet Seasons,Carole King (4-1972),10,0,1972,4,0.0
211780,Break Your Promise,The Delfonics (11-1968),10,0,1968,11,0.0
211700,Rain On The Roof,The Lovin' Spoonful (12-1966),10,0,1966,12,0.0
211701,Puppet On A String,Elvis Presley With The Jordanaires (1-1966),10,0,1966,1,0.0
211721,Bad Man Blunder,The Kingston Trio (8-1960),10,0,1960,8,0.0
211708,Searching For My Love,Bobby Moore & The Rhythm Aces (8-1966),10,0,1966,8,0.0
211714,Chained,Marvin Gaye (11-1968),10,0,1968,11,0.0
211718,Rip Van Winkle,The Devotions (4-1964),10,0,1964,4,0.0
211719,Bitter Bad,Melanie (4-1973),10,0,1973,4,0.0
212491,Cimarron (Roll On),Billy Vaughn And His Orchestra (12-1958),10,0,1958,12,0.0
212492,Beg Me,Chuck Jackson (7-1964),10,0,1964,7,0.0
212500,A Symphony For Susan,The Arbors (12-1966),10,0,1966,12,0.0
212483,Bumble Boogie,B. Bumble & The Stingers (5-1961),10,0,1961,5,0.0
212485,Don't Change Horses (In The Middle Of A Stream),Tower Of Power (9-1974),10,0,1974,9,0.0
212528,Don't Throw Away All Those Teardrops,Frankie Avalon (5-1960),10,0,1960,5,0.0
212535,Sunrise,Eric Carmen (10-1976),10,0,1976,10,0.0
212536,Don't Take Your Love,The Manhattans (3-1975),10,0,1975,3,0.0
212538,Tell Him I'm Not Home,Chuck Jackson (4-1963),10,0,1963,4,0.0
212524,18 Yellow Roses,Bobby Darin (7-1963),10,0,1963,7,0.0
